['56274', '56278']
['56278', '56281']
['56281', '56286']
['56286', '56290']
['56290', '51951']
['51951', '52009']
['52009', '52066']
['52066', '52097']
['52097', '52115']
['52115', '52167']
['52167', '52204']
['52204', '52277']
['52277', '52335']
['52335', '52369']
['52369', '52409']
['52409', '52459']
['52459', '52459']
['52459', '52488']
['52488', '52510']
['52510', '52543']
['52543', '52570']
['52570', '10']
['10', '10']
['10', '52593']
['52593', '52647']
['52647', '52653']
['52653', '52677']
['52677', '52683']
['52683', '52701']
['52701', '52718']
['52718', '52736']
['52736', '52742']
['52742', '52765']
['52765', '52772']
['52772', '52756']
['52756', '52811']
['26', '26']
['26', '61621']
['61621', '52768']
['52768', '61176']
['61176', '60630']
['60630', '60631']
['60631', '61095']
['61095', '61096']
['61096', '52189']
['52189', '52098']
['52098', '52037']
['52037', '51902']
['51902', '51858']
['51858', '51843']
['51843', '51820']
['51820', '61315']
['61315', '51787']
['51787', '51754']
['51754', '51729']
['51729', '51685']
['51685', '7']
['19', '19']
['19', '53242']
['18', '53279']
['53279', '53289']
['53289', '53302']
['53302', '53313']
['53313', '53338']
['53338', '53352']
['53352', '53363']
['53363', '53373']
['53373', '53387']
['53387', '53395']
['53395', '53401']
['53401', '53409']
['53409', '53414']
['53414', '53416']
['53416', '53423']
['53423', '54482']
['54482', '53349']
['53349', '61216']
['61216', '61762']
['61762', '61231']
['61231', '61218']
['61218', '61221']
['61221', '61223']
['8', '52001']
['52001', '52017']
['52017', '52041']
['52041', '52081']
['52081', '52112']
['52112', '52145']
['52145', '52180']
['52180', '52182']
['52182', '52257']
['52257', '52295']
['52295', '52346']
['52346', '61096']
['61096', '52421']
['52421', '52449']
['52449', '52481']
['52481', '52523']
['52523', '52568']
['52568', '50106']
['50106', '52644']
['52644', '54097']
['54097', '52594']
['53467', '53484']
['53484', '53488']
['53488', '53496']
['53496', '53453']
['53453', '53417']
['53417', '53397']
['53397', '53685']
['53685', '53361']
['53361', '53361']
['53361', '53346']
['53346', '53335']
['53335', '53306']
['53306', '53293']
['53293', '18']
['18', '53289']
['53289', '53265']
['53265', '54676']
['54676', '54674']
['54674', '54672']
['54672', '54668']
['54668', '54661']
['54661', '54646']
['54646', '54631']
['54631', '54606']
['54606', '54609']
['54609', '54610']
['54610', '54612']
['54599', '60471']
['60471', '54590']
['54590', '54585']
['54585', '54703']
['54703', '54701']
['54701', '54573']
['54573', '54575']
['54575', '54588']
['54588', '54568']
['54568', '54557']
['54557', '54541']
['54541', '54706']
['54706', '54707']
['54707', '54704']
['54704', '54521']
['54521', '54530']
['54530', '54717']
['54717', '54708']
['54140', '52313']
['52313', '52226']
['52226', '52172']
['52172', '52103']
['52103', '52152']
['52152', '52208']
['52208', '52261']
['52261', '52297']
['52297', '52356']
['52356', '52404']
['52404', '52436']
['52436', '52455']
['52455', '52525']
['52525', '52564']
['52564', '52614']
['52614', '52640']
['52640', '52715']
['52715', '52765']
