fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"1","1000000000000000","43","(609237.1430292855, 5033498.054297129)","43",Station Angrignon,"10118",,"45.446466","-73.603118",,http://www.stm.info/fr/infos/reseaux/metro/angrignon,"0",STATION_M118,,"2",,,0.028169014085,"1",5.347338266889,"3"
"2","1000000000000001","42","(610000.3287007888, 5034032.7825292135)","42",Station Monk,"10120",,"45.451158","-73.593242",,http://www.stm.info/fr/infos/reseaux/metro/monk,"0",STATION_M120,,"2",,,0.056338028169,"2",5.728795601103,"3"
"3","1000000000000002","41","(610892.0753887842, 5034698.786736895)","41",Station Jolicoeur,"10122",,"45.457010","-73.581691",,http://www.stm.info/fr/infos/reseaux/metro/jolicoeur,"0",STATION_M122,,"2",,,0.056338028169,"2",6.151673270823,"3"
"4","1000000000000003","40","(611643.3344205623, 5034982.247847549)","40",Station Verdun,"10124",,"45.459441","-73.572021",,http://www.stm.info/fr/infos/reseaux/metro/verdun,"0",STATION_M124,,"2",,,0.056338028169,"2",6.62204109213,"4"
"5","1000000000000004","39","(612025.2444608925, 5035261.649756883)","39",Station De l'Église,"10126",,"45.461894","-73.567074",,http://www.stm.info/fr/infos/reseaux/metro/de-l-eglise,"0",STATION_M126,,"2",,,0.056338028169,"2",7.147089657687,"4"
"6","1000000000000005","38","(612070.1610762374, 5036281.413484908)","38",Station LaSalle,"10128",,"45.471063","-73.566267",,http://www.stm.info/fr/infos/reseaux/metro/lasalle,"0",STATION_M128,,"2",,,0.056338028169,"2",7.735378999038,"5"
"7","1000000000000006","37","(611815.6260173107, 5037099.470862401)","37",Station Charlevoix,"10130",,"45.478465","-73.569336",,http://www.stm.info/fr/infos/reseaux/metro/charlevoix,"0",STATION_M130,,"2",,,0.056338028169,"2",8.397150966636,"5"
"8","1000000000000007","36","(610960.1603284106, 5037533.709295459)","36",Station Lionel-Groulx,"10132",,"45.482509","-73.580180",,http://www.stm.info/fr/infos/reseaux/metro/lionel-groulx,"0",STATION_M132,,"1",,,0.112676056338,"5",9.144723412941,"5"
"9","1000000000000008","35","(610505.2325487375, 5038365.722962922)","35",Station Atwater,"10134",,"45.490068","-73.585812",,http://www.stm.info/fr/infos/reseaux/metro/atwater,"0",STATION_M134,,"2",,,0.056338028169,"2",8.798608383368,"5"
"10","1000000000000009","34","(611002.4886425597, 5038985.940638659)","34",Station Guy-Concordia,"10136",,"45.495570","-73.579310",,http://www.stm.info/fr/infos/reseaux/metro/guy-concordia,"0",STATION_M136,,"2",,,0.056338028169,"2",8.445318180594,"5"
"11","1000000000000010","33","(611351.0409576504, 5039582.112561911)","33",Station Peel,"10138",,"45.500879","-73.574715",,http://www.stm.info/fr/infos/reseaux/metro/peel,"0",STATION_M138,,"2",,,0.056338028169,"2",8.08956301914,"5"
"12","1000000000000011","32","(611589.2011946456, 5039940.298199057)","32",Station McGill,"10140",,"45.504064","-73.571586",,http://www.stm.info/fr/infos/reseaux/metro/mcgill,"0",STATION_M140,,"2",,,0.056338028169,"2",7.735378999038,"5"
"13","1000000000000012","31","(611827.2851968921, 5040406.401831473)","31",Station Place-des-Arts,"10142",,"45.508220","-73.568433",,http://www.stm.info/fr/infos/reseaux/metro/place-des-arts,"0",STATION_M142,,"2",,,0.056338028169,"2",7.386122756607,"4"
"14","1000000000000013","30","(612097.7585634805, 5040723.844308116)","30",Station Saint-Laurent,"10144",,"45.511033","-73.564899",,http://www.stm.info/fr/infos/reseaux/metro/saint-laurent,"0",STATION_M144,,"2",,,0.056338028169,"2",7.044499853988,"4"
"16","1000000000000015","29","(612790.0196533557, 5041602.867757086)","29",Station Beaudry,"10148",,"45.518831","-73.555837",,http://www.stm.info/fr/infos/reseaux/metro/beaudry,"0",STATION_M148,,"2",,,0.056338028169,"2",6.392042559263,"4"
"17","1000000000000016","28","(613024.4578247704, 5042180.2020486975)","28",Station Papineau,"10150",,"45.523988","-73.552703",,http://www.stm.info/fr/infos/reseaux/metro/papineau,"0",STATION_M150,,"2",,,0.056338028169,"2",6.083886237535,"3"
"18","1000000000000017","27","(613044.9836065988, 5043238.11549806)","27",Station Frontenac,"10152",,"45.533504","-73.552196",,http://www.stm.info/fr/infos/reseaux/metro/frontenac,"0",STATION_M152,,"2",,,0.056338028169,"2",5.788861610027,"3"
"19","1000000000000018","26","(612872.6994433287, 5044147.747788603)","26",Station Préfontaine,"10154",,"45.541717","-73.554192",,http://www.stm.info/fr/infos/reseaux/metro/prefontaine,"0",STATION_M154,,"2",,,0.056338028169,"2",5.507358364652,"3"
"20","1000000000000019","25","(613081.1122123093, 5044719.953805954)","25",Station Joliette,"10156",,"45.546832","-73.551391",,http://www.stm.info/fr/infos/reseaux/metro/joliette,"0",STATION_M156,,"2",,,0.056338028169,"2",5.239503450119,"3"
"21","1000000000000020","24","(613038.7948437338, 5045481.122207287)","24",Station Pie-IX,"10158",,"45.553688","-73.551757",,http://www.stm.info/fr/infos/reseaux/metro/pie-ix,"0",STATION_M158,,"2",,,0.056338028169,"2",4.985216036626,"3"
"22","1000000000000021","23","(613354.6447132743, 5046264.657610828)","23",Station Viau,"10160",,"45.560687","-73.547530",,http://www.stm.info/fr/infos/reseaux/metro/viau,"0",STATION_M160,,"2",,,0.056338028169,"2",4.744255003706,"2"
"23","1000000000000022","22","(613352.4881966006, 5047220.149830518)","22",Station Assomption,"10162",,"45.569285","-73.547336",,http://www.stm.info/fr/infos/reseaux/metro/assomption,"0",STATION_M162,,"2",,,0.056338028169,"2",4.516259108845,"2"
"24","1000000000000023","21","(613386.1220349038, 5048060.712189809)","21",Station Cadillac,"10164",,"45.576843","-73.546710",,http://www.stm.info/fr/infos/reseaux/metro/cadillac,"0",STATION_M164,,"2",,,0.056338028169,"2",4.30078033929,"2"
"25","1000000000000024","20","(613653.3071250715, 5048720.475424786)","20",Station Langelier,"10166",,"45.582736","-73.543133",,http://www.stm.info/fr/infos/reseaux/metro/langelier,"0",STATION_M166,,"2",,,0.056338028169,"2",4.097311139565,"2"
"26","1000000000000025","19","(613941.1965845396, 5049469.760168598)","19",Station Radisson,"10168",,"45.589431","-73.539269",,http://www.stm.info/fr/infos/reseaux/metro/radisson,"0",STATION_M168,,"2",,,0.056338028169,"2",3.905306285102,"2"
"27","1000000000000026","18","(614230.3694556422, 5050268.651355091)","18",Station Honoré-Beaugrand,"10170",,"45.596572","-73.535376",,http://www.stm.info/fr/infos/reseaux/metro/honore-beaugrand,"0",STATION_M170,,"1",,,0.028169014085,"1",3.724200175759,"2"
"28","1000000000000027","65","(602885.8929450687, 5040922.026392696)","65",Station Côte-Vertu,"10222",,"45.514237","-73.682757",,http://www.stm.info/fr/infos/reseaux/metro/cote-vertu,"0",STATION_M222,,"1",,,0.028169014085,"1",4.683882723702,"2"
"29","1000000000000028","54","(603516.8296622803, 5040379.106658606)","54",Station Du Collège,"10224",,"45.509258","-73.674796",,http://www.stm.info/fr/infos/reseaux/metro/du-college,"0",STATION_M224,,"1",,,0.056338028169,"2",4.97398807258,"3"
"30","1000000000000029","53","(604569.5078849804, 5039373.415383241)","53",Station De la Savane,"10228",,"45.500051","-73.661538",,http://www.stm.info/fr/infos/reseaux/metro/de-la-savane,"0",STATION_M228,,"2",,,0.056338028169,"2",5.28970228557,"3"
"31","1000000000000030","52","(605260.0659308465, 5038783.982348514)","52",Station Namur,"10230",,"45.494643","-73.652828",,http://www.stm.info/fr/infos/reseaux/metro/namur,"0",STATION_M230,,"2",,,0.056338028169,"2",5.633802816901,"3"
"32","1000000000000031","51","(606398.3181828553, 5038803.287421635)","51",Station Plamondon,"10232",,"45.494644","-73.638260",,http://www.stm.info/fr/infos/reseaux/metro/plamondon,"0",STATION_M232,,"2",,,0.056338028169,"2",6.009389671362,"3"
"33","1000000000000032","50","(606805.8144940275, 5038555.946759141)","50",Station Côte-Sainte-Catherine,"10234",,"45.492356","-73.633100",,http://www.stm.info/fr/infos/reseaux/metro/cote-sainte-catherine,"0",STATION_M234,,"2",,,0.056338028169,"2",6.419914837864,"4"
"35","1000000000000034","48","(607867.5351397361, 5037168.65387936)","48",Station Villa-Maria,"10238",,"45.479709","-73.619821",,http://www.stm.info/fr/infos/reseaux/metro/villa-maria,"0",STATION_M238,,"2",,,0.056338028169,"2",7.361502347418,"4"
"36","1000000000000035","47","(609137.8222681818, 5036567.388855331)","47",Station Vendôme,"10242",,"45.474101","-73.603706",,http://www.stm.info/fr/infos/reseaux/metro/vendome,"0",STATION_M242,,"2",,,0.056338028169,"2",7.901433646602,"5"
"37","1000000000000036","46","(610466.3083669314, 5036948.344332836)","46",Station Place-Saint-Henri,"10244",,"45.477320","-73.586629",,http://www.stm.info/fr/infos/reseaux/metro/place-saint-henri,"0",STATION_M244,,"2",,,0.056338028169,"2",8.494041170098,"5"
"38","1000000000000037","17","(611207.6732120515, 5038247.994237526)","17",Station Georges-Vanier,"10248",,"45.488897","-73.576852",,http://www.stm.info/fr/infos/reseaux/metro/georges-vanier,"0",STATION_M248,,"2",,,0.056338028169,"2",8.833802816901,"5"
"39","1000000000000038","16","(611647.6188427781, 5038905.701201342)","16",Station Lucien-L'Allier,"10250",,"45.494745","-73.571074",,http://www.stm.info/fr/infos/reseaux/metro/lucien-l-allier,"0",STATION_M250,,"2",,,0.056338028169,"2",8.510407338055,"5"
"40","1000000000000039","15","(611940.9528709895, 5039282.217941983)","15",Station Bonaventure,"10252",,"45.498086","-73.567235",,http://www.stm.info/fr/infos/reseaux/metro/bonaventure,"0",STATION_M252,,"2",,,0.056338028169,"2",8.179447052686,"5"
"41","1000000000000040","14","(612254.9558890176, 5039715.7969942875)","14",Station Square-Victoria–OACI,"10254",,"45.501937","-73.563118",,http://www.stm.info/fr/infos/reseaux/metro/square-victoria–oaci,"0",STATION_M254,,"2",,,0.056338028169,"2",7.845295574513,"5"
