Id,Lat,Lon,Magnitud,Number of Stops,Number of Stations,List of Stations,List of Stops,Type,Category,Name,URL
56975,45.420113000133924,-73.6092959999998,1,1,0,[],['56975'],Cluster,Small,Centrale - Raymond,"http://maps.google.com/maps?q=&layer=c&cbll=45.420113000133924,-73.6092959999998"
57053,45.41709600005825,-73.63253200000166,1,1,0,[],['57053'],Cluster,Small,Centrale - 76e Avenue,"http://maps.google.com/maps?q=&layer=c&cbll=45.41709600005825,-73.63253200000166"
57347,45.43157499994563,-73.67102100000432,1,1,0,[],['57347'],Cluster,Small,Saint-Joseph - 8e Avenue,"http://maps.google.com/maps?q=&layer=c&cbll=45.43157499994563,-73.67102100000432"
57219,45.446029999921,-73.68009400000487,1,1,0,[],['57219'],Cluster,Small,Duff Court - Esther-Blondin,"http://maps.google.com/maps?q=&layer=c&cbll=45.446029999921,-73.68009400000487"
56902,45.42433200008861,-73.62290200000092,1,1,0,[],['56902'],Cluster,Small,Bibliothèque L'Octogone,"http://maps.google.com/maps?q=&layer=c&cbll=45.42433200008861,-73.62290200000092"
57002,45.43447300016502,-73.600140999999,1,1,0,[],['57002'],Cluster,Small,Broadway - Alepin,"http://maps.google.com/maps?q=&layer=c&cbll=45.43447300016502,-73.600140999999"
56512,45.44581600021074,-73.58728999999781,1,1,0,[],['56512'],Cluster,Small,Stephens - No 1482,"http://maps.google.com/maps?q=&layer=c&cbll=45.44581600021074,-73.58728999999781"
56513,45.446504000213686,-73.58648599999775,1,1,0,[],['56513'],Cluster,Small,Rolland - No 1411,"http://maps.google.com/maps?q=&layer=c&cbll=45.446504000213686,-73.58648599999775"
56511,45.44688900020552,-73.58871199999795,1,1,0,[],['56511'],Cluster,Small,Rolland - Champlain,"http://maps.google.com/maps?q=&layer=c&cbll=45.44688900020552,-73.58871199999795"
57003,45.43529000016617,-73.59980399999897,1,1,0,[],['57003'],Cluster,Small,Champlain - Allion,"http://maps.google.com/maps?q=&layer=c&cbll=45.43529000016617,-73.59980399999897"
56903,45.423659000090794,-73.62224100000087,1,1,0,[],['56903'],Cluster,Small,Dollard - De La Vérendrye,"http://maps.google.com/maps?q=&layer=c&cbll=45.423659000090794,-73.62224100000087"
56776,45.433543000008086,-73.64887900000285,1,1,0,[],['56776'],Cluster,Small,Clément - Louis-Fortier,"http://maps.google.com/maps?q=&layer=c&cbll=45.433543000008086,-73.64887900000285"
56873,45.42679100007489,-73.62714400000127,1,1,0,[],['56873'],Cluster,Small,Dollard - John-F.-Kennedy,"http://maps.google.com/maps?q=&layer=c&cbll=45.42679100007489,-73.62714400000127"
53891,45.485611999931315,-73.67569400000463,1,1,0,[],['53891'],Cluster,Small,Royalmount - No 6150,"http://maps.google.com/maps?q=&layer=c&cbll=45.485611999931315,-73.67569400000463"
50397,45.48660199993199,-73.67542400000463,1,1,0,[],['50397'],Cluster,Small,Royalmount - Biotech,"http://maps.google.com/maps?q=&layer=c&cbll=45.48660199993199,-73.67542400000463"
56797,45.43944300002092,-73.64448700000256,1,1,0,[],['56797'],Cluster,Small,Dollard - Saint-Patrick,"http://maps.google.com/maps?q=&layer=c&cbll=45.43944300002092,-73.64448700000256"
61382,45.448315999922215,-73.67960400000484,1,1,0,[],['61382'],Cluster,Small,Norman - Claire,"http://maps.google.com/maps?q=&layer=c&cbll=45.448315999922215,-73.67960400000484"
57340,45.448322999917224,-73.68151200000494,1,1,0,[],['57340'],Cluster,Small,Norman - Claire,"http://maps.google.com/maps?q=&layer=c&cbll=45.448322999917224,-73.68151200000494"
57115,45.44959699991686,-73.68164000000496,1,1,0,[],['57115'],Cluster,Small,Croissant Claire - No 1150,"http://maps.google.com/maps?q=&layer=c&cbll=45.44959699991686,-73.68164000000496"
57116,45.44963399992481,-73.6785940000048,1,1,0,[],['57116'],Cluster,Small,Claire - Croissant Claire,"http://maps.google.com/maps?q=&layer=c&cbll=45.44963399992481,-73.6785940000048"
57100,45.43986500001801,-73.64545500000264,1,1,0,[],['57100'],Cluster,Small,Dollard - No 850,"http://maps.google.com/maps?q=&layer=c&cbll=45.43986500001801,-73.64545500000264"
53863,45.53349599984135,-73.71129800000661,1,1,0,[],['53863'],Cluster,Small,Forbes - Saint-Évariste,"http://maps.google.com/maps?q=&layer=c&cbll=45.53349599984135,-73.71129800000661"
55732,45.51058399994316,-73.67097200000437,1,1,0,[],['55732'],Cluster,Small,Sainte-Croix - Cartier,"http://maps.google.com/maps?q=&layer=c&cbll=45.51058399994316,-73.67097200000437"
56201,45.5151700001292,-73.60963499999987,1,1,0,[],['56201'],Cluster,Small,McEachran - Côte-Sainte-Catherine,"http://maps.google.com/maps?q=&layer=c&cbll=45.5151700001292,-73.60963499999987"
56189,45.516198000121456,-73.61191900000007,1,1,0,[],['56189'],Cluster,Small,McEachran - Bernard,"http://maps.google.com/maps?q=&layer=c&cbll=45.516198000121456,-73.61191900000007"
