Id,Lat,Lon,Magnitud,Number of Stops,Number of Stations,List of Stations,List of Stops,Type,Category,Name,URL
65,45.51409972886439,-73.68338222791925,22,21,1,['65'],"['60290', '61654', '60292', '60807', '55639', '55650', '55641', '55640', '55890', '60293', '55901', '55945', '60289', '60288', '60295', '61798', '60383', '61323', '55829', '61819', '60296']",Hub,Medium,Station Côte-Vertu,"http://maps.google.com/maps?q=&layer=c&cbll=45.51409972886439,-73.68338222791925"
18,45.59684465031551,-73.53539446876474,17,16,1,['18'],"['53253', '53275', '54257', '53252', '53251', '53755', '53756', '54237', '53876', '53725', '54115', '53724', '53754', '61814', '54119', '54008']",Hub,Medium,Station Honoré-Beaugrand,"http://maps.google.com/maps?q=&layer=c&cbll=45.59684465031551,-73.53539446876474"
36,45.4829424043556,-73.57999013472364,15,14,1,['36'],"['61868', '61561', '61328', '54181', '52193', '61333', '61867', '61869', '61335', '61330', '61329', '61331', '61332', '61334']",Hub,Medium,Station Lionel-Groulx,"http://maps.google.com/maps?q=&layer=c&cbll=45.4829424043556,-73.57999013472364"
3,45.545875644099624,-73.63851307034403,14,13,1,['3'],"['50769', '50794', '50756', '50793', '50768', '50758', '60250', '54205', '50767', '50792', '50760', '54206', '50770']",Hub,Medium,Station Crémazie,"http://maps.google.com/maps?q=&layer=c&cbll=45.545875644099624,-73.63851307034403"
43,45.44649000392091,-73.60360884734833,13,12,1,['43'],"['54105', '61660', '54111', '54108', '54112', '54110', '51611', '54106', '54107', '54109', '61263', '61662']",Hub,Medium,Station Angrignon,"http://maps.google.com/maps?q=&layer=c&cbll=45.44649000392091,-73.60360884734833"
97,45.539167501341836,-73.61378175389856,12,11,1,['97'],"['51331', '51310', '51312', '51322', '51311', '51330', '54095', '54212', '54211', '54172', '54171']",Hub,Medium,Station Jean-Talon 2,"http://maps.google.com/maps?q=&layer=c&cbll=45.539167501341836,-73.61378175389856"
1,45.555484334308986,-73.66758792041234,12,11,1,['1'],"['54127', '53827', '50305', '50304', '50313', '60367', '50303', '50307', '50306', '53793', '54114']",Hub,Medium,Station Henri-Bourassa,"http://maps.google.com/maps?q=&layer=c&cbll=45.555484334308986,-73.66758792041234"
19,45.589567820111924,-73.53948091264063,11,10,1,['19'],"['61230', '53207', '53206', '59034', '53184', '53198', '54080', '53196', '60236', '59312']",Hub,Medium,Station Radisson,"http://maps.google.com/maps?q=&layer=c&cbll=45.589567820111924,-73.53948091264063"
9,45.524671911129815,-73.5821977338382,11,10,1,['9'],"['52057', '52083', '52100', '61802', '52055', '52054', '52056', '52084', '58725', '61665']",Hub,Medium,Station Mont-Royal,"http://maps.google.com/maps?q=&layer=c&cbll=45.524671911129815,-73.5821977338382"
8,45.52680263760497,-73.58692681971407,11,10,1,['8'],"['51965', '51973', '60366', '51918', '54167', '51919', '51974', '51948', '54069', '61719']",Hub,Medium,Station Laurier,"http://maps.google.com/maps?q=&layer=c&cbll=45.52680263760497,-73.58692681971407"
7,45.53126381898576,-73.59768290919607,11,10,1,['7'],"['51660', '61653', '51646', '51672', '51649', '54179', '54168', '51648', '51661', '51647']",Hub,Medium,Station Rosemont,"http://maps.google.com/maps?q=&layer=c&cbll=45.53126381898576,-73.59768290919607"
2,45.550883183235285,-73.65590436533168,11,10,1,['2'],"['50441', '54037', '54269', '50437', '50438', '50443', '50442', '50439', '50440', '54088']",Hub,Medium,Station Sauvé,"http://maps.google.com/maps?q=&layer=c&cbll=45.550883183235285,-73.65590436533168"
31,45.50814090155417,-73.56879150496812,10,9,1,['31'],"['52553', '52533', '52517', '61042', '52534', '61108', '61049', '52540', '52516']",Hub,Medium,Station Place-des-Arts,"http://maps.google.com/maps?q=&layer=c&cbll=45.50814090155417,-73.56879150496812"
28,45.52365360260344,-73.55249920100738,10,9,1,['28'],"['53051', '53047', '54188', '53009', '53002', '53022', '54117', '54043', '53970']",Hub,Medium,Station Papineau,"http://maps.google.com/maps?q=&layer=c&cbll=45.52365360260344,-73.55249920100738"
47,45.474069201067074,-73.6038178020432,10,9,1,['47'],"['53763', '53935', '51594', '53764', '53936', '53796', '51558', '53797', '54104']",Hub,Medium,Station Vendôme,"http://maps.google.com/maps?q=&layer=c&cbll=45.474069201067074,-73.6038178020432"
15,45.49787810495837,-73.56743359678153,10,9,1,['15'],"['53696', '52618', '52617', '54356', '52550', '52556', '52619', '61809', '60714']",Hub,Medium,Station Bonaventure,"http://maps.google.com/maps?q=&layer=c&cbll=45.49787810495837,-73.56743359678153"
99,45.51525790294807,-73.56088929828006,10,9,1,['99'],"['52814', '52792', '52761', '61153', '52791', '52793', '52844', '52846', '61611']",Hub,Medium,Station Berri-UQAM 2,"http://maps.google.com/maps?q=&layer=c&cbll=45.51525790294807,-73.56088929828006"
64,45.559624702489316,-73.59975119549193,10,9,1,['64'],"['60771', '51631', '51570', '51606', '51605', '51632', '54184', '54294', '61113']",Hub,Medium,Station Saint-Michel,"http://maps.google.com/maps?q=&layer=c&cbll=45.559624702489316,-73.59975119549193"
57797,45.46574107215445,-73.83136378462022,14,14,0,[],"['57795', '57815', '57794', '57809', '57798', '57799', '57821', '57800', '60415', '60888', '57827', '57823', '57822', '57797']",Cluster,Large,Terminus Fairview - Brunswick - Auto Plaza,"http://maps.google.com/maps?q=&layer=c&cbll=45.46574107215445,-73.83136378462022"
34,45.495412893012485,-73.57930577612393,9,8,1,['34'],"['52237', '52202', '52146', '52236', '61832', '52201', '52195', '60999']",Hub,Medium,Station Guy-Concordia,"http://maps.google.com/maps?q=&layer=c&cbll=45.495412893012485,-73.57930577612393"
27,45.53328044547352,-73.55202300161118,9,8,1,['27'],"['53014', '54040', '54038', '53015', '53028', '53007', '54039', '53016']",Hub,Medium,Station Frontenac,"http://maps.google.com/maps?q=&layer=c&cbll=45.53328044547352,-73.55202300161118"
52,45.49491944659044,-73.65298544420831,9,8,1,['52'],"['50506', '50510', '50508', '50507', '54195', '54262', '50509', '61818']",Hub,Medium,Station Namur,"http://maps.google.com/maps?q=&layer=c&cbll=45.49491944659044,-73.65298544420831"
57505,45.44844333444313,-73.74319511087016,9,9,0,[],"['57537', '57540', '57507', '57504', '57365', '57506', '57538', '57539', '57505']",Cluster,Large,Terminus Dorval,"http://maps.google.com/maps?q=&layer=c&cbll=45.44844333444313,-73.74319511087016"
39,45.46227625148135,-73.56685937796094,8,7,1,['39'],"['56690', '56630', '61564', '56631', '56636', '56635', '56632']",Hub,Medium,Station De l'Église,"http://maps.google.com/maps?q=&layer=c&cbll=45.46227625148135,-73.56685937796094"
20,45.582763250760806,-73.54299049997022,8,7,1,['20'],"['54174', '53153', '53150', '53149', '53152', '53151', '60440']",Hub,Medium,Station Langelier,"http://maps.google.com/maps?q=&layer=c&cbll=45.582763250760806,-73.54299049997022"
10,45.51895562612731,-73.568623874248,8,7,1,['10'],"['52508', '52532', '52531', '52559', '52506', '52507', '52560']",Hub,Medium,Station Sherbrooke,"http://maps.google.com/maps?q=&layer=c&cbll=45.51895562612731,-73.568623874248"
6,45.535083501828325,-73.6044132547816,8,7,1,['6'],"['53851', '51551', '51522', '51509', '51533', '51508', '54014']",Hub,Medium,Station Beaubien,"http://maps.google.com/maps?q=&layer=c&cbll=45.535083501828325,-73.6044132547816"
42,45.45125600280841,-73.59277143088326,7,6,1,['42'],"['53858', '53859', '53857', '51876', '53860', '53856']",Hub,Medium,Station Monk,"http://maps.google.com/maps?q=&layer=c&cbll=45.45125600280841,-73.59277143088326"
38,45.47074728717487,-73.5667377148157,7,6,1,['38'],"['61651', '56707', '56697', '61207', '56687', '56688']",Hub,Medium,Station LaSalle,"http://maps.google.com/maps?q=&layer=c&cbll=45.47074728717487,-73.5667377148157"
25,45.5466795720539,-73.55144157229704,7,6,1,['25'],"['53021', '53035', '53036', '53037', '53038', '60844']",Hub,Medium,Station Joliette,"http://maps.google.com/maps?q=&layer=c&cbll=45.5466795720539,-73.55144157229704"
21,45.57694285789267,-73.54662485781628,7,6,1,['21'],"['53098', '53100', '61692', '53099', '53103', '53102']",Hub,Medium,Station Cadillac,"http://maps.google.com/maps?q=&layer=c&cbll=45.57694285789267,-73.54662485781628"
54,45.509413857961526,-73.6748042882353,7,6,1,['54'],"['55703', '55706', '60848', '55714', '55704', '55705']",Hub,Medium,Station Du Collège,"http://maps.google.com/maps?q=&layer=c&cbll=45.509413857961526,-73.6748042882353"
4,45.54292314332191,-73.62898000182975,7,6,1,['4'],"['50979', '50981', '50982', '50990', '50989', '50980']",Hub,Medium,Station Jarry,"http://maps.google.com/maps?q=&layer=c&cbll=45.54292314332191,-73.62898000182975"
55,45.49670600464343,-73.62319242119791,7,6,1,['55'],"['51157', '51188', '51155', '51102', '51156', '51187']",Hub,Medium,Station Côte-des-Neiges,"http://maps.google.com/maps?q=&layer=c&cbll=45.49670600464343,-73.62319242119791"
62,45.54713614439856,-73.60783372015966,7,6,1,['62'],"['51452', '51436', '51453', '51454', '51435', '51412']",Hub,Medium,Station Fabre,"http://maps.google.com/maps?q=&layer=c&cbll=45.54713614439856,-73.60783372015966"
55333,45.58391937691212,-73.65016074594602,8,8,0,[],"['60505', '50513', '55335', '50515', '50514', '55037', '61240', '55333']",Cluster,Large,Saint-Michel - Henri-Bourassa - Monselet - Gouin,"http://maps.google.com/maps?q=&layer=c&cbll=45.58391937691212,-73.65016074594602"
60663,45.51158000081069,-73.57801700012662,7,7,0,[],"['60664', '52218', '52219', '60682', '52250', '60681', '60663']",Cluster,Large,du Parc - des Pins - Léo-Pariseau,"http://maps.google.com/maps?q=&layer=c&cbll=45.51158000081069,-73.57801700012662"
51880,45.51649416870503,-73.58958000400871,12,12,0,[],"['51882', '51883', '51881', '56216', '51884', '54079', '54159', '54010', '51879', '56217', '61663', '51880']",Cluster,Large,du Mont-Royal - du Parc - Côte-Sainte-Catherine - Jeanne-Mance,"http://maps.google.com/maps?q=&layer=c&cbll=45.51649416870503,-73.58958000400871"
60870,45.42513557192789,-73.64830114354197,7,7,0,[],"['56771', '60869', '60874', '60875', '60876', '56759', '60870']",Cluster,Large,Terminus Lafleur - Newman,"http://maps.google.com/maps?q=&layer=c&cbll=45.42513557192789,-73.64830114354197"
55922,45.508452571849695,-73.67258942956143,7,7,0,[],"['55840', '55717', '60257', '55723', '55841', '55921', '55922']",Cluster,Large,Station du Collège,"http://maps.google.com/maps?q=&layer=c&cbll=45.508452571849695,-73.67258942956143"
58031,45.50993600050157,-73.81214914205725,7,7,0,[],"['58032', '58030', '58033', '58328', '60843', '58021', '58031']",Cluster,Large,Gare Roxboro-Pierrefonds,"http://maps.google.com/maps?q=&layer=c&cbll=45.50993600050157,-73.81214914205725"
37,45.47810616808426,-73.56907816475693,6,5,1,['37'],"['53699', '54018', '52547', '53986', '52599']",Hub,Medium,Station Charlevoix,"http://maps.google.com/maps?q=&layer=c&cbll=45.47810616808426,-73.56907816475693"
35,45.4899428371819,-73.58515449657779,6,5,1,['35'],"['54034', '56300', '52007', '56301', '51990']",Hub,Medium,Station Atwater,"http://maps.google.com/maps?q=&layer=c&cbll=45.4899428371819,-73.58515449657779"
24,45.553533334152604,-73.55206766726324,6,5,1,['24'],"['53020', '54096', '53019', '53018', '53017']",Hub,Medium,Station Pie-IX,"http://maps.google.com/maps?q=&layer=c&cbll=45.553533334152604,-73.55206766726324"
98,45.48522316733295,-73.62786933545651,6,5,1,['98'],"['51051', '54074', '51031', '51050', '61666']",Hub,Medium,Station Snowdon 5,"http://maps.google.com/maps?q=&layer=c&cbll=45.48522316733295,-73.62786933545651"
60,45.5300310010283,-73.62445166895866,6,5,1,['60'],"['51095', '51093', '51069', '51094', '51096']",Hub,Medium,Station Parc,"http://maps.google.com/maps?q=&layer=c&cbll=45.5300310010283,-73.62445166895866"
63,45.553540167030086,-73.60220416728801,6,5,1,['63'],"['51554', '51566', '51564', '51567', '51565']",Hub,Medium,Station D'Iberville,"http://maps.google.com/maps?q=&layer=c&cbll=45.553540167030086,-73.60220416728801"
51260,45.55554316713209,-73.6171081667009,6,6,0,[],"['51262', '51263', '51233', '51261', '61627', '51260']",Cluster,Medium,De Lorimier - Jarry - Crémazie - de Bordeaux,"http://maps.google.com/maps?q=&layer=c&cbll=45.55554316713209,-73.6171081667009"
52593,45.52168062642387,-73.56608399764619,8,8,0,[],"['54210', '50123', '52591', '52592', '52590', '52635', '52634', '52593']",Cluster,Large,du Parc-La-Fontaine - Sherbrooke - Cherrier - du Parc-La Fontaine,"http://maps.google.com/maps?q=&layer=c&cbll=45.52168062642387,-73.56608399764619"
56253,45.47726933396974,-73.60534816572128,6,6,0,[],"['56251', '56250', '56254', '56249', '56255', '56253']",Cluster,Medium,Claremont - Sherbrooke - Winchester,"http://maps.google.com/maps?q=&layer=c&cbll=45.47726933396974,-73.60534816572128"
52715,45.53712950081011,-73.56322400154684,6,6,0,[],"['52714', '52688', '52712', '52687', '52713', '52715']",Cluster,Medium,Rachel - Frontenac - D'Iberville,"http://maps.google.com/maps?q=&layer=c&cbll=45.53712950081011,-73.56322400154684"
55168,45.61580100049946,-73.62969516793767,6,6,0,[],"['55166', '55169', '60307', '55170', '55167', '55168']",Cluster,Medium,Lacordaire - Léger,"http://maps.google.com/maps?q=&layer=c&cbll=45.61580100049946,-73.62969516793767"
60482,45.590232167774616,-73.63339016862315,6,6,0,[],"['55137', '55136', '61790', '55124', '55123', '60482']",Cluster,Medium,d'Amiens - Garon - Hébert - Hôtel-de-Ville,"http://maps.google.com/maps?q=&layer=c&cbll=45.590232167774616,-73.63339016862315"
51658,45.5689790006089,-73.59690633471129,6,6,0,[],"['51659', '51657', '51656', '51666', '51650', '51658']",Cluster,Medium,Villeray - Pie-IX - 23e Avenue - 22e Avenue,"http://maps.google.com/maps?q=&layer=c&cbll=45.5689790006089,-73.59690633471129"
54298,45.56650650045803,-73.59136866658757,6,6,0,[],"['51791', '51793', '51794', '51792', '51795', '54298']",Cluster,Medium,Pie-IX - Jean-Talon,"http://maps.google.com/maps?q=&layer=c&cbll=45.56650650045803,-73.59136866658757"
51621,45.638269500849965,-73.59708316720047,6,6,0,[],"['51619', '51622', '51620', '54000', '54063', '51621']",Cluster,Medium,Armand-Bombardier - Perras,"http://maps.google.com/maps?q=&layer=c&cbll=45.638269500849965,-73.59708316720047"
61606,45.661848667153066,-73.53821349996979,6,6,0,[],"['61605', '61525', '61668', '61691', '61690', '61606']",Cluster,Medium,Gare Rivière-des-Prairies,"http://maps.google.com/maps?q=&layer=c&cbll=45.661848667153066,-73.53821349996979"
52328,45.49387783430896,-73.57527283220195,6,6,0,[],"['52326', '52329', '52327', '52331', '52330', '52328']",Cluster,Medium,Guy - René-Lévesque,"http://maps.google.com/maps?q=&layer=c&cbll=45.49387783430896,-73.57527283220195"
58143,45.49318349984856,-73.84995216573232,6,6,0,[],"['58141', '58140', '58142', '58144', '58145', '58143']",Cluster,Medium,de Pierrefonds - René-Émard,"http://maps.google.com/maps?q=&layer=c&cbll=45.49318349984856,-73.84995216573232"
50295,45.55038016766584,-73.67088449917682,6,6,0,[],"['50294', '50298', '50297', '50296', '50291', '50295']",Cluster,Medium,Saint-Laurent - Henri-Bourassa - Lighthall,"http://maps.google.com/maps?q=&layer=c&cbll=45.55038016766584,-73.67088449917682"
50230,45.54074733385221,-73.69582549973514,6,6,0,[],"['50231', '54006', '50232', '50229', '60797', '50230']",Cluster,Medium,De Salaberry - de l'Acadie - Frigon,"http://maps.google.com/maps?q=&layer=c&cbll=45.54074733385221,-73.69582549973514"
60866,45.481633000106605,-73.76799783318738,6,6,0,[],"['60831', '60272', '61116', '60841', '60865', '60866']",Cluster,Medium,Frederick-Banting - Marie-Curie - No 7290 - No 2520,"http://maps.google.com/maps?q=&layer=c&cbll=45.481633000106605,-73.76799783318738"
60542,45.66941666882129,-73.50540316546156,6,6,0,[],"['53508', '60548', '60598', '53509', '60596', '60542']",Cluster,Medium,De La Rousselière - Sherbrooke - No 3000,"http://maps.google.com/maps?q=&layer=c&cbll=45.66941666882129,-73.50540316546156"
56390,45.47592116680869,-73.66164400050783,6,6,0,[],"['56391', '56393', '56389', '56392', '56425', '56390']",Cluster,Medium,Kildare - Cavendish,"http://maps.google.com/maps?q=&layer=c&cbll=45.47592116680869,-73.66164400050783"
56306,45.489326445180545,-73.5836291115874,9,9,0,[],"['56308', '60238', '56297', '53786', '52086', '54148', '52069', '52070', '56306']",Cluster,Large,Station Atwater - Atwater - Dorchester,"http://maps.google.com/maps?q=&layer=c&cbll=45.489326445180545,-73.5836291115874"
56851,45.432413668212234,-73.62995966536049,6,6,0,[],"['56853', '56852', '60246', '56850', '56854', '56851']",Cluster,Medium,Shevchenko - Newman - Juliette,"http://maps.google.com/maps?q=&layer=c&cbll=45.432413668212234,-73.62995966536049"
54160,45.45475100109639,-73.64136400294353,8,8,0,[],"['50741', '54143', '53792', '50747', '50743', '50723', '50110', '54160']",Cluster,Large,Sherbrooke - Elmhurst - Gare Montréal-Ouest - Westmore,"http://maps.google.com/maps?q=&layer=c&cbll=45.45475100109639,-73.64136400294353"
56826,45.43068416770499,-73.63503433337983,6,6,0,[],"['56825', '56833', '56834', '56836', '56827', '56826']",Cluster,Medium,Dollard - Newman,"http://maps.google.com/maps?q=&layer=c&cbll=45.43068416770499,-73.63503433337983"
53191,45.55033250062066,-73.54134199982195,6,6,0,[],"['53189', '53188', '53190', '61701', '61583', '53191']",Cluster,Medium,Ontario - Pie-IX,"http://maps.google.com/maps?q=&layer=c&cbll=45.55033250062066,-73.54134199982195"
55110,45.60572083383505,-73.63558633309752,6,6,0,[],"['55107', '55108', '55106', '55100', '55111', '55110']",Cluster,Medium,Sainte-Gertrude - Léger - Perras - Hénault,"http://maps.google.com/maps?q=&layer=c&cbll=45.60572083383505,-73.63558633309752"
53313,45.6045638344375,-73.53020483239324,6,6,0,[],"['53314', '53312', '53316', '53311', '53315', '53313']",Cluster,Medium,Sherbrooke - Des Ormeaux,"http://maps.google.com/maps?q=&layer=c&cbll=45.6045638344375,-73.53020483239324"
50326,45.5356911672401,-73.66577116725638,6,6,0,[],"['50325', '50324', '50328', '50329', '50330', '50326']",Cluster,Medium,Sauvé - de l'Acadie,"http://maps.google.com/maps?q=&layer=c&cbll=45.5356911672401,-73.66577116725638"
58482,45.43539999981218,-73.84779633434357,6,6,0,[],"['58483', '58493', '58491', '58484', '58481', '58482']",Cluster,Medium,Gare Beaconsfield,"http://maps.google.com/maps?q=&layer=c&cbll=45.43539999981218,-73.84779633434357"
55255,45.60680383423852,-73.62008883089736,6,6,0,[],"['55256', '55245', '55324', '55254', '55258', '55255']",Cluster,Medium,Lacordaire - Henri-Bourassa - CLSC de Montréal-Nord - des Narcisses,"http://maps.google.com/maps?q=&layer=c&cbll=45.60680383423852,-73.62008883089736"
41,45.45698940050543,-73.5818491999763,5,4,1,['41'],"['53952', '54100', '54101', '61324']",Hub,Medium,Station Jolicoeur,"http://maps.google.com/maps?q=&layer=c&cbll=45.45698940050543,-73.5818491999763"
32,45.50415380246881,-73.57134299559353,5,4,1,['32'],"['52433', '52499', '52412', '52451']",Hub,Medium,Station McGill,"http://maps.google.com/maps?q=&layer=c&cbll=45.50415380246881,-73.57134299559353"
30,45.51070540212131,-73.56544299811564,5,4,1,['30'],"['52650', '52649', '52610', '61806']",Hub,Medium,Station Saint-Laurent,"http://maps.google.com/maps?q=&layer=c&cbll=45.51070540212131,-73.56544299811564"
26,45.54196140080266,-73.55429240205565,5,4,1,['26'],"['61619', '61620', '52967', '52966']",Hub,Medium,Station Préfontaine,"http://maps.google.com/maps?q=&layer=c&cbll=45.54196140080266,-73.55429240205565"
22,45.5693244015888,-73.54704899759881,5,4,1,['22'],"['54306', '53083', '53081', '53875']",Hub,Medium,Station Assomption,"http://maps.google.com/maps?q=&layer=c&cbll=45.5693244015888,-73.54704899759881"
51,45.49434320038806,-73.63782699958674,5,4,1,['51'],"['50817', '50818', '50819', '50820']",Hub,Medium,Station Plamondon,"http://maps.google.com/maps?q=&layer=c&cbll=45.49434320038806,-73.63782699958674"
50,45.49241460019624,-73.63305220005589,5,4,1,['50'],"['50923', '50925', '50924', '50926']",Hub,Medium,Station Côte-Sainte-Catherine,"http://maps.google.com/maps?q=&layer=c&cbll=45.49241460019624,-73.63305220005589"
46,45.477166200573386,-73.58668020009841,5,4,1,['46'],"['51986', '51989', '53817', '51987']",Hub,Medium,Station Place-Saint-Henri,"http://maps.google.com/maps?q=&layer=c&cbll=45.477166200573386,-73.58668020009841"
16,45.49498300152178,-73.57114360287613,5,4,1,['16'],"['52469', '60749', '61694', '54175']",Hub,Medium,Station Lucien-L'Allier,"http://maps.google.com/maps?q=&layer=c&cbll=45.49498300152178,-73.57114360287613"
12,45.50958440377531,-73.55595619839154,5,4,1,['12'],"['53674', '59309', '53673', '53692']",Hub,Medium,Station Champ-de-Mars,"http://maps.google.com/maps?q=&layer=c&cbll=45.50958440377531,-73.55595619839154"
56,45.50360360114084,-73.61830440160752,5,4,1,['56'],"['51248', '53877', '53878', '51247']",Hub,Medium,Station Université-de-Montréal,"http://maps.google.com/maps?q=&layer=c&cbll=45.50360360114084,-73.61830440160752"
52222,45.537559400895525,-73.57754479867427,5,5,0,[],"['52220', '52223', '52221', '52181', '52222']",Cluster,Medium,De Lorimier - Saint-Joseph - Laurier,"http://maps.google.com/maps?q=&layer=c&cbll=45.537559400895525,-73.57754479867427"
55760,45.50740685942382,-73.66137057065009,7,7,0,[],"['56028', '56029', '56024', '56141', '56027', '56030', '55760']",Cluster,Large,Lucerne - Glengarry - Côte-de-Liesse,"http://maps.google.com/maps?q=&layer=c&cbll=45.50740685942382,-73.66137057065009"
50700,45.48961020032611,-73.64215940109924,5,5,0,[],"['50702', '50703', '50722', '50701', '50700']",Cluster,Medium,Décarie - Van Horne,"http://maps.google.com/maps?q=&layer=c&cbll=45.48961020032611,-73.64215940109924"
50628,45.491075000750406,-73.6453204015174,5,5,0,[],"['53831', '50630', '50631', '50629', '50628']",Cluster,Medium,Décarie - Plamondon - Kenmore - Trans Island,"http://maps.google.com/maps?q=&layer=c&cbll=45.491075000750406,-73.6453204015174"
51137,45.47897180013956,-73.62452300027907,5,5,0,[],"['51136', '51138', '54077', '51128', '51137']",Cluster,Medium,de Terrebonne - Côte-Saint-Luc - Earnscliffe - Girouard,"http://maps.google.com/maps?q=&layer=c&cbll=45.47897180013956,-73.62452300027907"
54215,45.47267120135368,-73.61216439911227,5,5,0,[],"['51396', '51399', '51398', '51397', '54215']",Cluster,Medium,Sherbrooke - Girouard,"http://maps.google.com/maps?q=&layer=c&cbll=45.47267120135368,-73.61216439911227"
52360,45.571092200558596,-73.57214699959867,5,5,0,[],"['52358', '52357', '52359', '61124', '52360']",Cluster,Medium,Beaubien - Viau,"http://maps.google.com/maps?q=&layer=c&cbll=45.571092200558596,-73.57214699959867"
52127,45.56273480071967,-73.57955140142694,5,5,0,[],"['52129', '52128', '52126', '61777', '52127']",Cluster,Medium,Beaubien - Pie-IX - 23e Avenue,"http://maps.google.com/maps?q=&layer=c&cbll=45.56273480071967,-73.57955140142694"
50456,45.54521980018605,-73.65488320053946,5,5,0,[],"['50458', '50455', '60401', '50457', '50456']",Cluster,Medium,de Louvain - Saint-Laurent - No 7 - Louvain,"http://maps.google.com/maps?q=&layer=c&cbll=45.54521980018605,-73.65488320053946"
50564,45.54361520013078,-73.64785840031962,5,5,0,[],"['50562', '50565', '50566', '50563', '50564']",Cluster,Medium,Saint-Laurent - Legendre,"http://maps.google.com/maps?q=&layer=c&cbll=45.54361520013078,-73.64785840031962"
51951,45.4911510008423,-73.58796400128503,5,5,0,[],"['51950', '51949', '54185', '51952', '51951']",Cluster,Medium,Sherbrooke - Atwater - Collège Dawson,"http://maps.google.com/maps?q=&layer=c&cbll=45.4911510008423,-73.58796400128503"
52772,45.5368892006323,-73.56062800028296,5,5,0,[],"['52771', '52770', '52788', '52789', '52772']",Cluster,Medium,Sherbrooke - Gascon - Frontenac,"http://maps.google.com/maps?q=&layer=c&cbll=45.5368892006323,-73.56062800028296"
51461,45.47429780092419,-73.60890659905738,5,5,0,[],"['51463', '51462', '54066', '51460', '51461']",Cluster,Medium,Sherbrooke - Décarie,"http://maps.google.com/maps?q=&layer=c&cbll=45.47429780092419,-73.60890659905738"
54620,45.61224740075096,-73.55537260049631,5,5,0,[],"['54619', '54621', '54613', '54614', '54620']",Cluster,Medium,de Châteauneuf - Roi-René - de Fougeray,"http://maps.google.com/maps?q=&layer=c&cbll=45.61224740075096,-73.55537260049631"
52564,45.532672400890206,-73.56758000064394,5,5,0,[],"['52562', '52561', '52563', '52526', '52564']",Cluster,Medium,Rachel - De Lorimier - de Bordeaux,"http://maps.google.com/maps?q=&layer=c&cbll=45.532672400890206,-73.56758000064394"
52858,45.535469200941655,-73.55838240160796,5,5,0,[],"['52878', '52864', '52857', '61810', '52858']",Cluster,Medium,Hochelaga - du Havre - Frontenac - D'Iberville,"http://maps.google.com/maps?q=&layer=c&cbll=45.535469200941655,-73.55838240160796"
52422,45.51900620045234,-73.57221859964902,5,5,0,[],"['52423', '61272', '52390', '52411', '52422']",Cluster,Medium,Saint-Denis - Roy - des Pins - Rivard,"http://maps.google.com/maps?q=&layer=c&cbll=45.51900620045234,-73.57221859964902"
54968,45.58299540032771,-73.58067599983617,5,5,0,[],"['54970', '54971', '54969', '54974', '54968']",Cluster,Medium,Jean-Talon - Lacordaire - de Pontoise,"http://maps.google.com/maps?q=&layer=c&cbll=45.58299540032771,-73.58067599983617"
54771,45.5991992007,-73.61181260205376,5,5,0,[],"['54772', '54773', '54775', '54774', '54771']",Cluster,Medium,des Grandes-Prairies - Lacordaire - No5850,"http://maps.google.com/maps?q=&layer=c&cbll=45.5991992007,-73.61181260205376"
55209,45.611661000335154,-73.62507339971765,5,5,0,[],"['55210', '60310', '61587', '55211', '55209']",Cluster,Medium,Lacordaire - Maurice-Duplessis - des Tulipes,"http://maps.google.com/maps?q=&layer=c&cbll=45.611661000335154,-73.62507339971765"
55315,45.62352016786876,-73.62152633329691,6,6,0,[],"['60386', '55233', '55235', '55243', '55237', '55315']",Cluster,Medium,Langelier - Léger - Allard - Villeneuve,"http://maps.google.com/maps?q=&layer=c&cbll=45.62352016786876,-73.62152633329691"
56579,45.45250800044956,-73.57249899988746,5,5,0,[],"['56581', '56580', '56578', '61693', '56579']",Cluster,Medium,Woodland - de Verdun,"http://maps.google.com/maps?q=&layer=c&cbll=45.45250800044956,-73.57249899988746"
55164,45.5917434001723,-73.63079239966474,5,5,0,[],"['55162', '55165', '55163', '55161', '55164']",Cluster,Medium,d'Amiens - Armand-Lavergne,"http://maps.google.com/maps?q=&layer=c&cbll=45.5917434001723,-73.63079239966474"
61757,45.6441050011065,-73.51399060161519,5,5,0,[],"['53425', '53424', '53427', '61731', '61757']",Cluster,Medium,Saint-Jean-Baptiste - Sherbrooke,"http://maps.google.com/maps?q=&layer=c&cbll=45.6441050011065,-73.51399060161519"
60333,45.62541380055161,-73.58164859947468,5,5,0,[],"['52025', '54743', '60328', '52026', '60333']",Cluster,Medium,Henri-Bourassa - Armand-Bombardier - Ray-Lawson,"http://maps.google.com/maps?q=&layer=c&cbll=45.62541380055161,-73.58164859947468"
61707,45.56577080009455,-73.6475608002601,5,5,0,[],"['50555', '50557', '50558', '50556', '61707']",Cluster,Medium,Papineau - Sauvé,"http://maps.google.com/maps?q=&layer=c&cbll=45.56577080009455,-73.6475608002601"
50357,45.552884000632154,-73.66219000173658,5,5,0,[],"['50358', '50359', '54089', '50360', '50357']",Cluster,Medium,Fleury - Berri - Lajeunesse,"http://maps.google.com/maps?q=&layer=c&cbll=45.552884000632154,-73.66219000173658"
