fid, reach
2890,289
2891,249
2892,457
2893,428
2894,585
2895,731
2896,765
2897,914
2898,876
2899,870
2900,894
2901,851
2902,417
2903,350
2904,98
2905,163
2906,150
2907,127
2908,3
2909,2
2910,0
2911,2
2912,2
2913,1
2914,1
2915,74
2916,113
2917,126
2918,338
2919,201
2920,194
2921,1114
2922,6
2923,802
2924,1196
2925,971
2926,303
2927,187
2928,370
2929,359
2930,891
2931,1071
2932,1083
2933,618
2934,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,13
2942,201
2943,257
2944,274
2945,148
2946,115
2947,460
2948,0
2949,0
2950,0
2951,128
2952,170
2953,390
2954,614
2955,688
2956,663
2957,476
2958,492
2959,460
2960,278
2961,237
2962,280
2963,407
2964,446
2965,352
2966,497
2967,537
2968,623
2969,693
2970,648
2971,425
2972,797
2973,300
2974,372
2975,597
2976,1069
2977,148
2978,172
2979,76
2980,1133
2981,1320
2982,1415
2983,1227
2984,836
2985,413
2986,699
2987,974
2988,1209
2989,266
2990,25
2991,0
2992,0
2993,0
2994,0
2995,0
2996,0
2997,463
2998,227
2999,315
3000,158
3001,129
3002,121
3003,203
3004,264
3005,229
3006,256
3007,267
3008,210
3009,186
3010,163
3011,254
3012,257
3013,352
3014,325
3015,571
3016,276
3017,0
3018,0
3019,0
3020,0
3021,0
3022,0
3023,0
3024,0
3025,0
3026,11
3027,204
3028,305
3029,379
3030,292
3031,367
3032,293
3033,216
3034,236
3035,253
3036,304
3037,341
3038,429
3039,396
3040,192
3041,213
3042,377
3043,4
3044,0
3045,0
3046,2
3047,2
3048,0
3049,37
3050,46
3051,47
3052,21
3053,17
3054,13
3055,0
3056,0
3057,0
3058,29
3059,367
3060,639
3061,765
3062,369
3063,93
3064,121
3065,262
3066,710
3067,830
3068,762
3069,250
3070,393
3071,448
3072,610
3073,825
3074,878
3075,1114
3076,1449
3077,959
3078,788
3079,468
3080,271
3081,332
3082,616
3083,728
3084,1249
3085,815
3086,200
3087,38
3088,520
3089,432
3090,415
3091,625
3092,1179
3093,1050
3094,50
3095,900
3096,1124
3097,638
3098,547
3099,735
3100,622
3101,919
3102,808
3103,579
3104,506
3105,396
3106,411
3107,225
3108,175
3109,192
3110,289
3111,796
3112,750
3113,206
3114,251
3115,153
3116,749
3117,452
3118,647
3119,0
3120,0
3121,0
3122,0
3123,0
3124,0
3125,0
3126,0
3127,189
3128,408
3129,395
3130,308
3131,330
3132,407
3133,437
3134,418
3135,353
3136,386
3137,484
3138,504
3139,372
3140,319
3141,355
3142,354
3143,378
3144,368
3145,344
3146,416
3147,674
3148,870
3149,912
3150,576
3151,777
3152,762
3153,630
3154,26
3155,14
3156,6
3157,27
3158,209
3159,34
3160,64
3161,0
3162,352
3163,509
3164,654
3165,897
3166,859
3167,137
3168,43
3169,21
3170,536
3171,508
3172,419
3173,388
3174,265
3175,398
3176,274
3177,23
3178,33
3179,0
3180,0
3181,0
3182,0
3183,8
3184,19
3185,47
3186,33
3187,48
3188,49
3189,34
3190,23
3191,28
3192,24
3193,5
3194,2
3195,8
3196,17
3197,54
3198,55
3199,54
3200,45
3201,30
3202,44
3203,44
3204,17
3205,43
3206,37
3207,28
3208,49
3209,28
3210,70
3211,654
3212,524
3213,1
3214,77
3215,1917
3216,1852
3217,1789
3218,1078
3219,980
3220,1137
3221,698
3222,446
3223,282
3224,436
3225,611
3226,666
3227,455
3228,168
3229,946
3230,1231
3231,372
3232,0
3233,0
3234,0
3235,0
3236,0
3237,0
3238,0
3239,0
3240,0
3241,0
3242,0
3243,0
3244,0
3245,0
3246,0
3247,0
3248,0
3249,0
3250,0
3251,0
3252,0
3253,0
3254,0
3255,0
3256,0
3257,0
3258,0
3259,0
3260,0
3261,0
3262,0
3263,0
3264,0
3265,0
3266,0
3267,0
3268,0
3269,0
3270,0
3271,0
3272,0
3273,0
3274,0
3275,0
3276,0
3277,0
3278,0
3279,0
3280,0
3281,0
3282,0
3283,0
3284,0
3285,0
3286,0
3287,45
3288,57
3289,24
3290,21
3291,84
3292,116
3293,145
3294,254
3295,291
3296,343
3297,210
3298,151
3299,258
3300,226
3301,330
3302,206
3303,270
3304,160
3305,115
3306,197
3307,213
3308,26
3309,0
3310,0
3311,0
3312,0
3313,0
3314,0
3315,0
3316,0
3317,0
3318,0
3319,0
3320,0
3321,0
3322,0
3323,0
3324,0
3325,0
3326,0
3327,0
3328,0
3329,0
3330,0
3331,0
3332,0
3333,0
3334,0
3335,0
3336,0
3337,184
3338,254
3339,0
3340,0
3341,0
3342,0
3343,0
3344,0
3345,0
3346,0
3347,0
3348,0
3349,0
3350,0
3351,0
3352,0
3353,0
3354,0
3355,0
3356,0
3357,0
3358,0
3359,0
3360,0
3361,0
3362,0
3363,0
3364,0
3365,0
3366,0
3367,0
3368,0
3369,0
3370,0
3371,0
3372,0
3373,0
3374,0
3375,22
3376,92
3377,60
3378,0
3379,7
3380,23
3381,20
3382,0
3383,233
3384,0
3385,0
3386,0
3387,0
3388,3
3389,0
3390,22
3391,5
3392,0
3393,0
3394,3
3395,0
3396,0
3397,0
3398,0
3399,0
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3406,0
3407,0
3408,0
3409,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3416,0
3417,0
3418,0
3419,0
3420,0
3421,0
3422,0
3423,0
3424,0
3425,0
3426,0
3427,0
3428,0
3429,0
3430,0
3431,0
3432,0
3433,0
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3444,0
3445,0
3446,0
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0
3459,143
3460,226
3461,282
3462,384
3463,287
3464,221
3465,308
3466,265
3467,271
3468,223
3469,316
3470,260
3471,307
3472,302
3473,322
3474,268
3475,318
3476,221
3477,238
3478,218
3479,242
3480,120
3481,235
3482,21
3483,228
3484,148
3485,0
3486,0
3487,0
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0
3494,0
3495,0
3496,0
3497,0
3498,0
3499,4
3500,71
3501,76
3502,119
3503,209
3504,249
3505,171
3506,217
3507,207
3508,193
3509,338
3510,0
3511,0
3512,0
3513,0
3514,0
3515,0
3516,0
3517,9
3518,57
3519,113
3520,198
3521,257
3522,299
3523,241
3524,114
3525,171
3526,455
3527,431
3528,294
3529,104
3530,188
3531,244
3532,260
3533,254
3534,146
3535,122
3536,223
3537,213
3538,268
3539,293
3540,220
3541,121
3542,157
3543,180
3544,144
3545,211
3546,253
3547,158
3548,170
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0
3555,0
3556,0
3557,0
3558,0
3559,0
3560,0
3561,0
3562,0
3563,0
3564,0
3565,0
3566,0
3567,0
3568,0
3569,0
3570,0
3571,0
3572,0
3573,0
3574,0
3575,0
3576,0
3577,10
3578,200
3579,150
3580,135
3581,120
3582,19
3583,0
3584,0
3585,0
3586,0
3587,0
3588,0
3589,3
3590,172
3591,0
3592,0
3593,0
3594,0
3595,0
3596,0
3597,0
3598,0
3599,0
3600,0
3601,0
3602,0
3603,0
3604,0
3605,0
3606,0
3607,0
3608,0
3609,0
3610,0
3611,0
3612,0
3613,0
3614,0
3615,0
3616,0
3617,0
3618,0
3619,0
3620,0
3621,0
3622,0
3623,0
3624,0
3625,0
3626,0
3627,0
3628,0
3629,0
3630,0
3631,0
3632,0
3633,0
3634,0
3635,0
3636,17
3637,90
3638,17
3639,48
3640,67
3641,70
3642,56
3643,55
3644,42
3645,73
3646,76
3647,40
3648,36
3649,24
3650,37
3651,23
3652,27
3653,0
3654,0
3655,0
3656,0
3657,0
3658,0
3659,0
3660,0
3661,0
3662,0
3663,0
3664,0
3665,0
3666,33
3667,126
3668,154
3669,338
3670,179
3671,44
3672,26
3673,53
3674,28
3675,60
3676,252
3677,9
3678,0
3679,0
3680,0
3681,211
3682,234
3683,0
3684,0
3685,0
3686,0
3687,0
3688,0
3689,0
3690,0
3691,0
3692,0
3693,0
3694,0
3695,27
3696,57
3697,1
3698,42
3699,18
3700,5
3701,24
3702,34
3703,25
3704,0
3705,0
3706,0
3707,0
3708,0
3709,0
3710,0
3711,0
3712,0
3713,0
3714,0
3715,0
3716,15
3717,31
3718,90
3719,26
3720,37
3721,14
3722,0
3723,0
3724,0
3725,0
3726,0
3727,0
3728,0
3729,0
3730,0
3731,0
3732,0
3733,0
3734,0
3735,0
3736,0
3737,0
3738,0
3739,0
3740,0
3741,0
3742,0
3743,0
3744,0
3745,0
3746,0
3747,0
3748,0
3749,0
3750,0
3751,0
3752,0
3753,0
3754,0
3755,0
3756,415
3757,324
3758,234
3759,260
3760,2
3761,0
3762,0
3763,0
3764,0
3765,0
3766,0
3767,0
3768,199
3769,252
3770,422
3771,372
3772,0
3773,0
3774,0
3775,0
3776,0
3777,0
3778,0
3779,0
3780,0
3781,0
3782,0
3783,0
3784,0
3785,0
3786,0
3787,0
3788,0
3789,0
3790,0
3791,0
3792,0
3793,0
3794,0
3795,0
3796,0
3797,0
3798,0
3799,0
3800,0
3801,0
3802,0
3803,0
3804,0
3805,0
3806,0
3807,11
3808,13
3809,14
3810,0
3811,0
3812,0
3813,0
3814,0
3815,0
3816,0
3817,2
3818,3
3819,4
3820,102
3821,242
3822,0
3823,0
3824,0
3825,0
3826,0
3827,0
3828,553
3829,519
3830,669
3831,671
3832,721
3833,476
3834,148
3835,0
3836,0
3837,0
3838,0
3839,378
3840,507
3841,816
3842,181
3843,160
3844,514
3845,311
3846,22
3847,38
3848,38
3849,39
3850,27
3851,18
3852,839
3853,141
3854,0
3855,0
3856,0
3857,0
3858,0
3859,652
3860,0
3861,93
3862,0
3863,399
3864,291
3865,31
3866,0
3867,0
3868,8
3869,70
3870,167
3871,24
3872,0
3873,531
3874,0
3875,0
3876,0
3877,0
3878,0
3879,0
3880,0
3881,0
3882,0
3883,0
3884,0
3885,0
3886,0
3887,32
3888,30
3889,13
3890,54
3891,14
3892,260
3893,14
3894,855
3895,699
3896,901
3897,9
3898,754
3899,172
3900,419
3901,17
3902,26
3903,1108
3904,1196
3905,702
3906,626
3907,404
3908,263
3909,955
3910,299
3911,0
3912,276
3913,262
3914,112
3915,447
3916,251
3917,355
3918,401
3919,374
3920,306
3921,770
3922,224
3923,394
3924,477
3925,395
3926,318
3927,330
3928,465
3929,428
3930,0
3931,0
3932,0
3933,28
3934,43
