fid, reach
736,219
737,537
738,502
739,288
740,277
741,95
742,64
743,43
744,52
745,9
746,27
747,26
748,130
749,50
750,18
751,32
752,36
753,52
754,42
755,24
756,43
757,48
758,17
759,8
760,290
761,216
762,37
763,11
764,555
765,474
766,292
767,16
768,28
769,45
770,69
771,53
772,64
773,53
774,28
775,5
776,21
777,19
778,6
779,50
780,75
781,86
782,30
783,4
784,16
785,45
786,180
787,231
788,34
789,114
790,151
791,145
792,356
793,203
794,268
795,357
796,322
797,154
798,113
799,55
800,182
801,0
802,7
803,42
804,62
805,71
806,3
807,91
808,46
809,906
810,624
811,1370
812,1308
813,1023
814,855
815,833
816,901
817,852
818,807
819,960
820,1194
821,1030
822,889
823,1050
824,466
825,508
826,739
827,1165
828,1545
829,1284
830,1065
831,835
832,1004
833,958
834,763
835,0
836,1632
837,1548
838,1102
839,732
840,774
841,420
842,499
843,577
844,565
845,579
846,732
847,1555
848,1322
849,342
850,785
851,588
852,751
853,815
854,0
855,1029
856,626
857,698
858,690
859,422
860,384
861,380
862,276
863,266
864,480
865,608
866,500
867,639
868,271
869,174
870,181
871,222
872,312
873,567
874,573
875,849
876,1036
877,1150
878,1136
879,995
880,792
881,627
882,978
883,961
884,755
885,505
886,728
887,521
888,361
889,719
890,843
891,211
892,17
893,5
894,462
895,519
896,334
897,276
898,268
899,354
900,399
901,311
902,632
903,781
904,710
905,422
906,367
907,594
908,347
909,255
910,286
911,521
912,527
913,480
914,312
915,455
916,721
917,388
918,80
919,294
920,330
921,467
922,502
923,879
924,529
925,400
926,194
927,29
928,28
929,295
930,629
931,485
932,303
933,143
934,221
935,200
936,59
937,306
938,446
939,661
940,411
941,294
942,645
943,588
944,258
945,1191
946,752
947,1038
948,1273
949,1594
950,2095
951,2158
952,2113
953,1547
954,246
955,1354
956,1554
957,1323
958,1359
959,1348
960,1020
961,899
962,305
963,617
964,622
965,237
966,265
967,323
968,379
969,321
970,620
971,491
972,478
973,545
974,683
975,1177
976,1367
977,403
978,816
979,872
980,792
981,2350
982,1733
983,1545
984,740
985,1056
986,1411
987,1922
988,1930
989,1849
990,1664
991,759
992,564
993,1187
994,1511
995,1335
996,214
997,1686
998,2270
999,2599
1000,2278
1001,1877
1002,1309
1003,1303
1004,1523
1005,1485
1006,905
1007,528
