StopCode,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,HarmCen,CatHarmCen,Clossnes,CatClossnes,BetCen
51200,51200,"(607759.3900158134, 5045621.767675386)",51200,Crémazie / Chabot,51200,,45.555791,-73.619345,,http://m.stm.info/fr/horaires/arrets/51200/bus,0,,,1,,,166.697780711721,3,1.729201075429,3,589.722693735827
51104,51104,"(607441.9880929199, 5045364.604105683)",51104,Fabre / Crémazie,51104,,45.553526,-73.623467,,http://m.stm.info/fr/horaires/arrets/51104/bus,0,,,1,,,162.302145770442,3,1.699568858582,3,320.080887762694
51178,51178,"(607630.7877927913, 5045431.968022586)",51178,Crémazie / Papineau,51178,,45.554103,-73.621034,,http://m.stm.info/fr/horaires/arrets/51178/bus,0,,,1,,,245.71229653454,5,2.386654350735,5,3689.692222360605
51223,51223,"(607810.3399362976, 5045587.305069299)",51223,Crémazie / de Bordeaux,51223,,45.555473,-73.618700,,http://m.stm.info/fr/horaires/arrets/51223/bus,0,,,1,,,235.614079061233,5,2.330577706918,5,596.321528120236
51262,51262,"(607923.4080785951, 5045599.809954538)",51262,De Lorimier / Jarry,51262,,45.555568,-73.617249,,http://m.stm.info/fr/horaires/arrets/51262/bus,0,,,1,,,227.403693727351,5,2.277253697015,5,590.253590801817
51309,51309,"(608143.5060337215, 5045472.583669653)",51309,De Lorimier / Tillemont,51309,,45.554389,-73.614458,,http://m.stm.info/fr/horaires/arrets/51309/bus,0,,,1,,,220.175287766296,5,2.226315230118,5,590.169186742705
51353,51353,"(608326.3239661625, 5045361.6118135275)",51353,De Lorimier / Villeray,51353,,45.553362,-73.612141,,http://m.stm.info/fr/horaires/arrets/51353/bus,0,,,1,,,213.635908060617,4,2.17760572649,5,590.084782683593
54321,54321,"(608602.9679000638, 5045193.816428031)",54321,De Lorimier / Everett,54321,,45.551809,-73.608635,,http://m.stm.info/fr/horaires/arrets/54321/bus,0,,,1,,,207.634135535438,4,2.130982016224,4,590.000378624481
51499,51499,"(608873.7146330841, 5045029.264222795)",51499,De Lorimier / Jean-Talon,51499,,45.550286,-73.605204,,http://m.stm.info/fr/horaires/arrets/51499/bus,0,,,1,,,202.07488865881,4,2.086312933771,4,589.915974565369
51581,51581,"(609156.2323730177, 5044857.704854264)",51581,De Lorimier / Bélanger,51581,,45.548698,-73.601624,,http://m.stm.info/fr/horaires/arrets/51581/bus,0,,,1,,,196.891733356608,4,2.04347808561,4,589.831570506258
51652,51652,"(609427.1641927619, 5044688.733628401)",51652,De Lorimier / Saint-Zotique,51652,,45.547135,-73.598192,,http://m.stm.info/fr/horaires/arrets/51652/bus,0,,,1,,,192.035068929522,4,2.002366766678,4,589.747166447146
51740,51740,"(609699.4434466832, 5044515.018601271)",51740,De Lorimier / Beaubien,51740,,45.545529,-73.594744,,http://m.stm.info/fr/horaires/arrets/51740/bus,0,,,1,,,187.466169703543,4,1.962877005008,4,589.662762388035
51825,51825,"(609964.237861995, 5044345.962212921)",51825,De Lorimier / de Bellechasse,51825,,45.543966,-73.591391,,http://m.stm.info/fr/horaires/arrets/51825/bus,0,,,1,,,183.153818658943,4,1.924914717238,4,589.578358328923
51860,51860,"(610115.0047820103, 5044249.591959834)",51860,De Lorimier / Rosemont,51860,,45.543075,-73.589482,,http://m.stm.info/fr/horaires/arrets/51860/bus,0,,,1,,,179.072243001533,3,1.888392960247,4,589.493954269811
