StopCode,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,HarmCen,CatHarmCen,Clossnes,CatClossnes,BetCen
1.139,1.139,"(433844.89772155636, 4589134.445148573)",1.139,Santa Coloma,139,,41.451067,2.207969,,,0,P.6660139,,1,,,4.927171038966,3,1.307809535658,1,225.751834233653
1.140,1.140,"(434719.60397896584, 4589183.783940541)",1.140,Fondo,140,,41.451583,2.218435,,,0,P.6660140,,1,,,3.961653797587,2,1.223628691983,1,0.0
1.210,1.210,"(430518.7118743003, 4580720.436937438)",1.210,Paral·lel,210,,41.375004,2.169117,,,0,P.6660210,,1,,,3.439552522641,2,1.195499296765,1,0.0
1.211,1.211,"(430032.51186499745, 4581261.2713299375)",1.211,Sant Antoni,211,,41.379833,2.163241,,,0,P.6660211,,1,,,4.380728993229,3,1.335119652592,1,129.001048133516
1.212,1.212,"(430093.98879088456, 4581808.604805817)",1.212,Universitat,212,,41.384768,2.163913,,,0,P.6660125,,1,,,4.818228993229,3,1.487084491098,2,241.876965250343
1.213,1.213,"(430460.9802964957, 4582321.134762881)",1.213,Passeig de Gràcia,213,,41.389416,2.168243,,,0,P.6660213,,1,,,5.084895659896,3,1.647850382028,2,338.62775135048
1.214,1.214,"(431078.4188867383, 4582922.671776076)",1.214,Tetuan,214,,41.394887,2.175559,,,0,P.6660214,,1,,,5.263467088467,4,1.811003885199,3,419.253406433927
1.215,1.215,"(431410.63157604606, 4583545.386386868)",1.215,Monumental,215,,41.400524,2.179462,,,0,P.6660215,,1,,,5.386544011544,4,1.966789165646,3,483.753930500685
1.216,1.216,"(431050.16589105525, 4583933.080160863)",1.216,Sagrada Família,216,,41.403985,2.175106,,,0,P.6660216,,1,,,5.469877344877,4,2.102429797759,4,532.129323550754
1.217,1.217,"(431688.3310365884, 4584287.985568115)",1.217,Encants,217,,41.407236,2.1827,,,0,P.6660217,,1,,,5.521825396825,4,2.203751715724,4,564.379585584133
1.218,1.218,"(432037.19991724705, 4584631.333565368)",1.218,Clot,218,,41.410358,2.186835,,,0,P.6660131,,1,,,5.546825396825,4,2.258165338334,4,580.504716600822
1.219,1.219,"(432766.615012084, 4585157.90305891)",1.219,Bac de Roda,219,,41.415162,2.195503,,,0,P.6660219,,1,,,5.546825396825,4,2.258165338334,4,580.504716600822
1.220,1.220,"(433206.9457545555, 4585587.058976018)",1.220,Sant Martí,220,,41.419064,2.200724,,,0,P.6660220,,1,,,5.521825396825,4,2.203751715724,4,564.379585584133
1.221,1.221,"(433620.1505968992, 4586134.956936081)",1.221,La Pau,221,,41.424033,2.205608,,,0,P.6660221,,1,,,5.469877344877,4,2.102429797759,4,532.129323550754
1.222,1.222,"(433983.4238591104, 4586794.583554775)",1.222,Verneda,222,,41.430004,2.209883,,,0,P.6660222,,1,,,5.386544011544,4,1.966789165646,3,483.753930500685
